time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0183330513385,-5.12479202897e-08,10.0409290481,6.2831398013,0.889425300325,0.0,-1.02583121239,-5.48866956359e-06,1.13161623721,-0.00232042971851,10.817245864,0.0,0.105488231817,899.965349191,899.958068218,899.864175313
0.12000000000000001,-0.099570902661,-3.07746642194e-06,10.1321607486,2.81322559506e-05,1.2159227478,0.0,-0.888344894338,-6.62662016885e-05,1.35843091631,0.00751683708093,19.2750074035,0.0,-0.0192963674757,899.843300491,899.762986085,900.161108091
0.18,-0.170494602586,-8.05078058206e-06,10.1956045662,0.00058098519556,0.62587934464,0.0,-0.691165383683,2.65461810822e-05,0.947014876599,0.0124079703218,24.3527911559,0.0,0.249669773602,900.020628639,900.013065366,900.210958679
0.23999999999999996,-0.259253239837,1.88107642831e-06,10.2558810919,0.00148240525875,3.26212825451,0.0,-2.25984421971,-0.000378252014503,0.267426342633,0.0198000748069,26.886542538,0.0,-0.00408320596972,900.366389507,899.996344906,900.295211855
0.3,-0.367779854664,-0.000106742063241,10.2011893267,0.00277624436663,5.12853352455,0.0,-0.939378354766,-0.00272280992362,-1.69234756151,0.0248764137352,28.02320143,0.0,-0.0658229321427,900.449139614,899.787360637,899.993058796
0.36000000000000004,-0.379040219268,-0.000141605001166,10.1224426705,0.00416289238761,0.580771232661,0.0,0.11696945709,0.00283283974396,-0.642810064223,0.019323363965,28.5139880291,0.0,-0.405947148793,900.803260449,900.284074803,900.059692918
0.4200000000000001,-0.419336130194,0.000190326525652,10.1044661226,0.00506069402831,2.30347458073,0.0,-1.67352677553,0.00616365329406,-0.440290137299,0.00438761064932,28.7144876246,0.0,-0.151280544887,900.599924656,900.435298081,899.830917188
0.48000000000000015,-0.550177744607,0.000292028911929,10.0079842633,0.0052364369388,4.02950299206,0.0,-2.17517683729,-0.00353518270258,-2.91279851698,-0.000161015142415,28.7967766238,0.0,-0.0938484951984,900.578386356,900.116202783,899.93206995
0.5400000000000001,-0.623942003805,-3.36829096621e-05,9.79390097297,0.00506694744868,5.75830748412,0.0,-0.23449933973,-0.00458357923061,-3.69803549174,-0.00876987628797,28.8302599634,0.0,0.101819274363,900.561190947,900.08424608,899.735832888
0.6000000000000002,-0.625414468011,-1.75710570929e-05,9.6130082207,0.00440392691584,1.20544443029,0.0,-0.339625011143,0.00484068819731,-2.35660579791,-0.0160527971,28.8488937515,0.0,0.112399506923,900.820170288,900.181851801,899.887078255
0.6600000000000003,-0.706386136532,0.000291567903748,9.45712653881,0.00346513571147,2.93630997643,0.0,-2.24285044643,0.00341822392607,-3.3530739857,-0.014849126217,28.845983671,0.0,0.52291027905,900.262436536,900.025945454,900.074761467
0.7200000000000003,-0.834174874069,0.000299540434332,9.17893260615,0.0024251390055,4.66709278238,0.0,-1.51983606503,-0.00231070753068,-5.72817417435,-0.0228331987113,28.8469714054,0.0,0.595247474154,900.377755819,900.301145434,899.978319755
0.7800000000000004,-0.867392676876,0.000190456529313,8.83417047156,0.00114414988126,0.114747118772,0.0,0.134176127356,-0.00064729175902,-5.3311238524,-0.0185373885151,28.8478590232,0.0,0.346715337456,900.403288587,899.933739953,900.107324099
0.8400000000000004,-0.884179255374,0.000205172663376,8.55013910854,4.4438182349e-05,1.84567222628,0.0,-1.10620417625,0.000661734905533,-4.46298946299,-0.0179141130962,28.8500637572,0.0,0.393214403891,900.500642258,899.853828133,899.878871828
0.9000000000000005,-1.00029061393,0.000254091008749,8.23160405741,6.28215221532,3.5767177462,0.0,-2.36502051328,0.00128454532169,-6.47900751544,-0.0180484283107,28.8517858738,0.0,0.671105598985,900.543929331,899.879123081,899.873931374
0.9600000000000005,-1.10068686271,0.000378548940666,7.7828550145,6.28100658436,5.30763289916,0.0,-0.701778122748,0.00237700211929,-8.02754230325,-0.0212673675561,28.843212958,0.0,0.367127691571,900.05317193,899.900358068,899.77015599
1.0200000000000005,-1.10750696941,0.000407020648602,7.32952725213,6.27948041598,0.754953006063,0.0,0.0113063436205,-0.00221285001345,-6.9116608488,-0.0354470117638,28.839454375,0.0,0.282474885624,900.040222131,900.024580257,899.450237312
1.0800000000000005,-1.15950709186,0.000173029455186,6.92461314298,6.2771538485,2.48537596909,0.0,-1.86657616453,-0.00346016334646,-7.09225281819,-0.0464481751179,28.8417456435,0.0,0.278584390674,900.242922209,900.114008849,899.668259797
1.1400000000000006,-1.29038419846,0.00031606384389,6.42821145797,6.27424781713,4.21581676646,0.0,-1.98990782324,0.00918836596574,-9.48875845755,-0.052733430128,28.8390160184,0.0,0.281127652242,900.048852429,899.982036299,899.727452111
1.2000000000000006,-1.35018323299,0.000926873808623,5.83317438308,6.2712767044,5.94618332319,0.0,-0.0872897778203,0.00609897101516,-9.84540021708,-0.0437530766028,28.8400783795,0.0,0.1733618277,900.164241592,899.721249429,900.083771819
1.2600000000000007,-1.35482591002,0.000624226236668,5.27882643853,6.26868707522,1.39349508079,0.0,-0.553098840436,-0.0155311558173,-8.73293361668,-0.0420013271196,28.84383769,0.0,-0.0280807833697,900.340037965,900.029491598,900.099365215
1.3200000000000007,-1.4471771839,-0.000151137723932,4.7274836848,6.26622934711,3.12415879674,0.0,-2.28342428027,-0.00351496957652,-10.0725916861,-0.038969107431,28.8452229243,0.0,-0.186810364728,900.331821621,900.225248009,900.347651996
